Loaded processed data from: /pool1/home/ysxin/E3nnVB/VB/processed/train_data.pt
Using device: cuda
CUDA device: NVIDIA GeForce RTX 4080
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
C4H6 tensor([0])
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Epoch 163 | Loss(MSE)=0.007375 | MAE=0.036531 | RMSE=0.085879 | LR=9.84e-04
Epoch 164 | Loss(MSE)=0.007399 | MAE=0.036408 | RMSE=0.086016 | LR=9.84e-04
Epoch 165 | Loss(MSE)=0.007399 | MAE=0.037114 | RMSE=0.086019 | LR=9.83e-04
Epoch 166 | Loss(MSE)=0.007389 | MAE=0.036479 | RMSE=0.085960 | LR=9.83e-04
Epoch 167 | Loss(MSE)=0.007391 | MAE=0.036554 | RMSE=0.085973 | LR=9.83e-04
Epoch 168 | Loss(MSE)=0.007387 | MAE=0.036325 | RMSE=0.085947 | LR=9.83e-04
Epoch 169 | Loss(MSE)=0.007385 | MAE=0.036589 | RMSE=0.085937 | LR=9.83e-04
Epoch 170 | Loss(MSE)=0.007384 | MAE=0.036422 | RMSE=0.085930 | LR=9.82e-04
Epoch 171 | Loss(MSE)=0.007396 | MAE=0.036483 | RMSE=0.085997 | LR=9.82e-04
Epoch 172 | Loss(MSE)=0.007388 | MAE=0.036761 | RMSE=0.085951 | LR=9.82e-04
Epoch 173 | Loss(MSE)=0.007380 | MAE=0.036283 | RMSE=0.085906 | LR=9.82e-04
Epoch 174 | Loss(MSE)=0.007375 | MAE=0.036371 | RMSE=0.085877 | LR=9.81e-04
Epoch 175 | Loss(MSE)=0.007380 | MAE=0.036434 | RMSE=0.085905 | LR=9.81e-04
Epoch 176 | Loss(MSE)=0.007396 | MAE=0.036566 | RMSE=0.085998 | LR=9.81e-04
Epoch 177 | Loss(MSE)=0.007398 | MAE=0.036473 | RMSE=0.086014 | LR=9.81e-04
Epoch 178 | Loss(MSE)=0.007367 | MAE=0.036451 | RMSE=0.085831 | LR=9.81e-04
